1,TAPLEJUNG,9718,30740,3.16,1540,2889,1.88
1,SANKHUWASABHA,11885,29054,2.44,715,1616,2.26
1,SOLUKHUMBU,14080,36446,2.59,2669,5315,1.99
1,PANCHTHAR,19023,42426,2.23,3903,6479,1.66
1,ILLAM,33886,130530,3.85,4585,14463,3.15
1,TERHATHUM,12142,33665,2.77,2399,5798,2.42
1,DHANKUTA,14033,47117,3.36,1302,2734,2.1
1,BHOJPUR,36197,98407,2.72,395,454,1.15
1,KHOTANG,43035,99173,2.3,5030,11020,2.19
1,OKHALDHUNGA,11426,35998,3.15,2145,5325,2.48
1,UDAYAPUR,17945,43714,2.44,5130,12825,2.5
1,JHAPA,39385,159105,4.04,7000,23600,3.37
1,MORANG,17991,69485,3.86,12640,38440,3.04
1,SUNSARI,8968,28799,3.21,12765,41486,3.25
Madhesh,SAPTARI,3930,12920,3.29,15317,53300,3.48
Madhesh,SIRAHA,3699,12379,3.35,11784,40254,3.42
Madhesh,DHANUSHA,3476,11343,3.26,36383,118628,3.26
Madhesh,MAHOTTARI,9754,29783,3.05,28379,92611,3.26
Madhesh,SARLAHI,12299,40831,3.32,22484,71531,3.18
Madhesh,RAUTAHAT,3513,12821,3.65,14991,52786,3.52
Madhesh,BARA,11940,46653,3.91,27143,97360,3.59
Madhesh,PARSA,4589,18566,4.05,21998,81758,3.72
Bagmati,DOLAKHA,5730,17221,3.01,4246,7515,1.77
Bagmati,SINDHUPALCHOK,25221,72739,2.88,6904,8723,1.26
Bagmati,RASUWA,2302,6284,2.73,761,1232,1.62
Bagmati,RAMECHAP,21731,64122,2.95,3674,8560,2.33
Bagmati,SINDHULI,24711,83812,3.39,6354,16890,2.66
Bagmati,KAVRE,24875,82717,3.33,8860,26483,2.99
Bagmati,BHAKTAPUR,1955,8646,4.42,3450,14409,4.18
Bagmati,LALITPUR,8223,33775,4.11,3485,11858,3.4
Bagmati,KATHMANDU,5544,22939,4.14,2565,9148,3.57
Bagmati,NUWAKOT,15952,60239,3.78,4495,17044,3.79
Bagmati,DHADING,19904,61965,3.11,4748,14056,2.96
Bagmati,MAKWANPUR,24224,78335,3.23,4128,13622,3.3
Bagmati,CHITWAN,26019,98644,3.79,5151,23248,4.51
Gandaki,MANANG,70,115,1.63,202,305,1.51
Gandaki,MUSTANG,566,998,1.76,535,887,1.66
Gandaki,GORKHA,17740,49191,2.77,3562,8291,2.33
Gandaki,LAMJUNG,20119,42247,2.1,1596,3907,2.45
Gandaki,TANAHU,22883,75963,3.32,1743,4116,2.36
Gandaki,KASKI,14140,38345,2.71,6820,17201,2.52
Gandaki,PARBAT,13987,34965,2.5,2646,6767,2.56
Gandaki,SYANGJA,26330,98557,3.74,5099,14498,2.84
Gandaki,MYAGDI,9199,32153,3.5,2113,7110,3.36
Gandaki,BAGLUNG,19863,65680,3.31,6900,17319,2.51
Gandaki,NAWALPARASI EAST,4516,12507,2.77,7605,22930,2.51
Lumbini,PALPA,21230,55562,2.62,5795,14660,2.53
Lumbini,GULMI,24502,67306,2.75,6699,19571,2.92
Lumbini,ARGHAKHANCHI,16075,51707,3.22,5782,16012,2.77
Lumbini,NAWALPARASI WEST,4978,11839,2.38,8698,24965,2.87
Lumbini,RUPANDEHI,3145,10693,3.4,26118,103167,3.95
Lumbini,KAPILBASTU,2657,10258,3.86,26725,99085,3.71
Lumbini,DANG,24305,77999,3.21,11876,37966,3.2
Lumbini,BANKE,19356,55747,2.88,21944,73373,3.34
Lumbini,BARDIYA,2764,8373,3.03,19775,74988,3.79
Lumbini,RUKUM EAST,5871,13829,2.36,5144,14473,2.81
Lumbini,PYUTHAN,11330,28887,2.55,7960,24959,3.14
Lumbini,ROLPA,13966,37593,2.69,8429,24864,2.95
Karnali,DOLPA,2359,3749,1.59,3000,4010,1.34
Karnali,MUGU,560,971,1.73,1780,2870,1.61
Karnali,HUMLA,149,274,1.84,1072,1526,1.42
Karnali,JUMLA,4413,7079,1.6,2300,5290,2.3
Karnali,KALIKOT,3036,7198,2.37,5606,8535,1.52
Karnali,RUKUM WEST,9913,30142,3.04,9690,16241,1.68
Karnali,SALYAN,19047,53976,2.83,14217,38610,2.72
Karnali,JAJARKOT,10206,32462,3.18,10432,26080,2.5
Karnali,DAILEKH,21057,51283,2.44,13710,32018,2.34
Karnali,SURKHET,14943,46256,3.1,12191,41354,3.39
Sudurpashchim,BAJURA,918,1507,1.64,9831,15675,1.59
Sudurpashchim,BAJHANG,4185,5998,1.43,10300,21558,2.09
Sudurpashchim,DARCHULA,5311,16855,3.17,5882,9202,1.56
Sudurpashchim,ACHHAM,6554,19266,2.94,14453,22689,1.57
Sudurpashchim,DOTI,3481,8993,2.58,12631,25461,2.02
Sudurpashchim,BAITADI,11031,26939,2.44,15901,25801,1.62
Sudurpashchim,DADELDHURA,3819,12340,3.23,9013,22055,2.45
Sudurpashchim,KAILALI,6519,21293,3.27,34565,123433,3.57
Sudurpashchim,KANCHANPUR,3378,9248,2.74,31210,99995,3.14
