temperature,humidity,ph,rainfall,label
20.87974371,82.00274423,6.502985292,202.9355362,paddy
21.77046169,80.31964408,7.038096361,226.6555374,paddy
23.00445915,82.3207629,7.840207144,263.9642476,paddy
26.49109635,80.15836264,6.980400905,242.8640342,paddy
20.13017482,81.60487287,7.628472891,262.7173405,paddy
23.05804872,83.37011772,7.073453503,251.0549998,paddy
22.70883798,82.63941394,5.70080568,271.3248604,paddy
20.27774362,82.89408619,5.718627178,241.9741949,paddy
24.51588066,83.5352163,6.685346424,230.4462359,paddy
23.22397386,83.03322691,6.336253525,221.2091958,paddy
26.52723513,81.41753846,5.386167788,264.6148697,paddy
23.97898217,81.45061596,7.50283396,250.0832336,paddy
26.80079604,80.88684822,5.108681786,284.4364567,paddy
24.01497622,82.05687182,6.98435366,185.2773389,paddy
25.66585205,80.66385045,6.94801983,209.5869708,paddy
24.28209415,80.30025587,7.042299069,231.0863347,paddy
21.58711777,82.7883708,6.249050656,276.6552459,paddy
23.79391957,80.41817957,6.970859754,206.2611855,paddy
21.8652524,80.1923008,5.953933276,224.5550169,paddy
23.57943626,83.58760316,5.85393208,291.2986618,paddy
21.32504158,80.47476396,6.442475375,185.4974732,paddy
25.15745531,83.11713476,5.070175667,231.3843163,paddy
21.94766735,80.97384195,6.012632591,213.3560921,paddy
21.0525355,82.67839517,6.254028451,233.1075816,paddy
23.48381344,81.33265073,7.375482851,224.0581164,paddy
25.0756354,80.52389148,7.778915154,257.0038865,paddy
26.35927159,84.04403589,6.286500176,271.3586137,paddy
24.52922681,80.54498576,7.070959995,260.2634026,paddy
20.77576147,84.49774397,6.244841491,240.0810647,paddy
22.30157427,80.64416466,6.043304899,197.9791215,paddy
21.44653958,84.94375962,5.824709117,272.2017204,paddy
22.17931888,80.33127223,6.357389366,200.0882787,paddy
24.52783742,82.73685569,6.364134968,224.6757231,paddy
20.26707606,81.63895217,5.01450727,270.4417274,paddy
25.7354293,83.88266234,6.149410611,233.1321372,paddy
26.79533926,82.1480873,5.950660556,193.3473987,paddy
26.75754171,81.17734011,5.960370061,272.2999056,paddy
23.86330467,83.15250801,5.561398642,285.2493645,paddy
21.01944696,82.95221726,7.416245107,298.4018471,paddy
24.17298839,83.7287574,5.583370042,257.0343554,paddy
22.78133816,82.06719137,6.430010215,248.7183228,paddy
25.62980105,83.52842314,5.534878156,209.9001977,paddy
25.59704938,80.14509262,6.903985986,200.834898,paddy
23.83067496,84.81360127,6.271478838,298.5601175,paddy
26.31355498,82.36698992,7.224285503,265.5355937,paddy
24.8972823,80.52586088,6.13428721,183.6793207,paddy
24.958779,84.47963372,5.206373153,196.9560008,paddy
23.24113501,84.59201843,7.782051313,233.0453455,paddy
21.66628296,80.70960551,7.062779015,210.8142087,paddy
24.63544858,80.41363018,7.730367824,253.7202781,paddy
23.43121862,83.06310136,5.286203711,219.9048349,paddy
20.0454142,80.3477562,6.766240045,208.5810155,paddy
23.85724032,82.22572988,7.382762603,195.0948311,paddy
21.97199397,81.89918197,5.658169482,227.3637009,paddy
26.22916897,83.83625819,5.543360238,286.5083725,paddy
23.44676801,84.79352417,6.215109715,283.9338466,paddy
25.65553461,83.47021081,7.120272972,217.3788583,paddy
24.44345477,82.45432595,5.950647577,267.9761948,paddy
20.2801937,82.1235421,7.236705436,191.9535738,paddy
21.7238313,80.2389895,6.501697816,277.9626192,paddy
20.41447029,82.20802629,7.592490617,245.1511304,paddy
25.75528612,83.51827127,5.875345751,245.6626799,paddy
20.61521424,83.77345559,6.932400225,279.5451717,paddy
21.84106875,80.72886384,6.946209881,202.3838319,paddy
20.08369642,83.29114712,5.739175027,263.6372176,paddy
24.45802087,82.74835604,6.738652179,182.5616319,paddy
21.14347496,80.33502926,5.594819626,198.6730942,paddy
25.78720567,82.11124033,6.946636369,243.5120414,paddy
23.64124821,80.28597873,5.012139669,263.1103304,paddy
23.43191632,80.56887849,6.363472208,269.5039162,paddy
24.97669518,83.891805,6.880431223,204.8001847,paddy
22.72791041,82.1706881,7.300410836,260.8875056,paddy
24.87300744,82.84022551,6.587918708,295.6094492,paddy
21.32376327,83.00320459,7.283736617,192.3197536,paddy
26.29465461,84.56919326,7.023936392,257.4914906,paddy
22.2286982,81.85872947,6.939083505,278.0791793,paddy
26.73072391,81.78596776,7.868474653,280.4044392,paddy
24.88921174,81.97927117,5.005306977,185.9461429,paddy
26.88444878,81.46033732,6.136131869,194.5766559,paddy
22.67846116,83.72874389,7.524080076,200.9133156,paddy
26.08867875,80.37979919,5.706943251,182.9043504,paddy
25.42977518,82.94682591,5.758506323,195.3574542,paddy
26.40323239,81.05635517,6.349606327,223.3671883,paddy
26.04371967,84.96907151,5.999969026,186.7536773,paddy
25.2827223,80.54372813,5.453592032,220.1156708,paddy
22.08576562,83.47038318,6.372576327,231.7364957,paddy
